,cnt_bricks,cnt_joints,vol_bbox,vol_disp,cnt_limb,avg_len_limb,nose,sym_x,sym_y,sym_z
0,5.0,14.0,63.0,20.0,2.0,2.0,1.0,0.0,0.22222222230864197,1.0
1,5.0,14.0,108.0,20.0,2.0,3.0,1.0,0.0,0.500000000125,0.4444444445061728
2,1.0,18.0,32.0,20.0,1.0,15.0,2.0,0.0,0.0,1.0
3,6.0,13.0,100.0,20.0,3.0,1.6666666666666667,2.0,1.0,1.0,0.40000000012000003
4,1.0,18.0,60.0,20.0,1.0,14.0,2.0,1.0,1.0,1.0
5,3.0,15.0,39.0,19.0,1.0,9.0,2.0,0.6666666667777779,0.6666666667777779,1.0
6,4.0,15.0,112.0,20.0,3.0,2.3333333333333335,1.0,0.0,0.2857142858163265,0.25000000009375
7,0.0,19.0,11.0,20.0,1.0,11.0,2.0,1.0,1.0,1.0
8,4.0,15.0,64.0,20.0,4.0,1.75,3.0,0.0,0.500000000125,0.0
9,4.0,15.0,14.0,20.0,2.0,5.0,2.0,0.0,0.0,0.0
