,cnt_bricks,cnt_joints,vol_bbox,vol_disp,cnt_limb,avg_len_limb,nose,sym_x,sym_y,sym_z
0,2.0,12.0,12.0,15.0,1.0,8.0,2.0,0.0,0.0,0.0
1,5.0,14.0,50.0,20.0,2.0,2.0,1.0,0.0,0.80000000004,0.20000000007999996
2,10.0,9.0,72.0,20.0,3.0,1.3333333333333333,2.0,0.500000000125,0.500000000125,0.6666666667777779
3,4.0,11.0,12.0,16.0,3.0,1.6666666666666667,2.0,1.0,1.0,0.0
4,0.0,19.0,9.0,20.0,9.0,1.0,2.0,0.0,0.0,1.0
5,9.0,10.0,84.0,20.0,4.0,1.25,2.0,1.0,1.0,0.8571428571632653
6,6.0,13.0,40.0,20.0,2.0,4.5,2.0,0.0,0.0,1.0
7,6.0,13.0,40.0,20.0,4.0,1.5,2.0,1.0,1.0,0.80000000004
8,5.0,14.0,156.0,20.0,3.0,3.3333333333333335,2.0,0.6666666667777779,0.6666666667777779,0.9230769230828403
9,3.0,16.0,44.0,20.0,4.0,2.25,2.0,0.500000000125,0.500000000125,1.0
